task_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
RADAR-01-europe-human-web,T01,1,2,P02-S06,P05-S08,,8.92,0,3.54,11.8,159.24,2,mixed
RADAR-01-europe-interactive-realtime,T01,1,1,P08-S02,P07-S01,,10.2,0,2.36,7.08,88.98,1,routing
RADAR-01-europe-api,T01,1,2,P03-S04,P04-S05,,11.47,0,4.72,14.16,65.95,1,telemetry
RADAR-01-east-asia-human-web,T01,1,2,P07-S04,P01-S06,,8.62,0,3.42,11.4,153.84,2,mixed
RADAR-01-east-asia-video-streaming,T01,1,3,P02-S06,P06-S03,,5.54,0,2.85,20.52,325.78,3,background
RADAR-01-east-asia-background-sync,T01,1,4,P03-S04,P05-S08,,6.16,0,3.42,22.8,74.8,3,background
RADAR-01-east-asia-automated,T01,1,2,P01-S08,P07-S01,,4.92,0,2.28,9.12,126.44,4,routing
RADAR-COMPUTE-01-east-asia,T01,1,3,,,P06-S06,14.77,1,9.12,36.48,0,2,compute
RADAR-01-south-america-human-web,T01,1,2,P03-S01,P05-S05,,5.75,0,2.4,8,102.56,2,mixed
RADAR-01-south-america-interactive-realtime,T01,1,1,P01-S05,P07-S06,,6.57,0,1.6,4.8,57.31,1,routing
RADAR-01-south-america-api,T01,1,2,P04-S07,P04-S02,,7.39,0,3.2,9.6,42.48,1,telemetry
RADAR-01-south-america-dns-control,T01,1,1,P08-S07,P08-S04,,2.46,0,0.8,3.2,16.62,1,telemetry
RADAR-01-oceania-human-web,T01,1,2,P07-S06,P04-S02,,4.69,0,2.4,8,83.67,2,mixed
RADAR-01-oceania-video-streaming,T01,1,3,P02-S08,P01-S07,,3.01,0,2,14.4,177.18,3,background
RADAR-02-na-east-human-web,T02,2,2,P04-S04,P07-S02,,8.57,0,3.6,12,150.86,2,mixed
RADAR-02-na-east-video-streaming,T02,2,3,P07-S06,P04-S07,,5.51,0,3,21.6,319.46,3,background
RADAR-02-na-east-software-update,T02,2,5,P03-S06,P08-S01,,4.28,0,2.4,43.2,212.98,4,background
RADAR-02-na-west-human-web,T02,2,2,P07-S02,P05-S01,,7.5,0,3.15,10.5,132,2,mixed
RADAR-02-na-west-interactive-realtime,T02,2,1,P05-S06,P07-S02,,8.57,0,2.1,6.3,73.77,1,routing
RADAR-02-na-west-api,T02,2,2,P08-S08,P04-S06,,9.64,0,4.2,12.6,55.42,1,telemetry
RADAR-02-europe-human-web,T02,2,2,P03-S07,P06-S08,,8.43,0,3.54,11.8,148.34,2,mixed
RADAR-02-europe-video-streaming,T02,2,3,P06-S01,P03-S05,,5.42,0,2.95,21.24,314.14,3,background
RADAR-02-europe-background-sync,T02,2,4,P07-S07,P02-S02,,6.02,0,3.54,23.6,73.12,3,background
RADAR-02-europe-automated,T02,2,2,P05-S03,P04-S03,,4.81,0,2.36,9.44,126.74,4,routing
RADAR-COMPUTE-02-europe,T02,2,3,,,P02-S01,14.44,1,9.44,37.76,0,2,compute
RADAR-02-east-asia-human-web,T02,2,2,P08-S05,P02-S07,,8.14,0,3.42,11.4,143.32,2,mixed
RADAR-02-east-asia-interactive-realtime,T02,2,1,P06-S01,P04-S08,,9.3,0,2.28,6.84,80.09,1,routing
RADAR-02-east-asia-api,T02,2,2,P01-S03,P01-S04,,10.47,0,4.56,13.68,60.17,1,telemetry
RADAR-02-east-asia-dns-control,T02,2,1,P05-S03,P05-S06,,3.49,0,1.14,4.56,23.55,1,telemetry
RADAR-02-south-america-human-web,T02,2,2,P04-S02,P06-S05,,5.43,0,2.4,8,95.54,2,mixed
RADAR-02-south-america-video-streaming,T02,2,3,P07-S04,P03-S02,,3.49,0,2,14.4,202.33,3,background
RADAR-02-oceania-human-web,T02,2,2,P08-S07,P05-S03,,4.43,0,2.4,8,77.94,2,mixed
RADAR-02-oceania-interactive-realtime,T02,2,1,P06-S03,P07-S04,,5.06,0,1.6,4.8,43.56,1,routing
RADAR-02-oceania-api,T02,2,2,P01-S05,P04-S08,,5.69,0,3.2,9.6,32.73,1,telemetry
RADAR-02-oceania-background-sync,T02,2,4,P04-S07,P01-S05,,3.16,0,2.4,16,38.42,3,background
RADAR-03-na-east-human-web,T03,3,2,P05-S04,P08-S03,,8.4,0,3.6,12,146.88,2,mixed
RADAR-03-na-east-interactive-realtime,T03,3,1,P03-S08,P02-S04,,9.6,0,2.4,7.2,82.08,1,routing
RADAR-03-na-east-api,T03,3,2,P06-S02,P07-S08,,10.8,0,4.8,14.4,62.79,1,telemetry
RADAR-03-na-west-human-web,T03,3,2,P08-S02,P06-S01,,7.35,0,3.15,10.5,128.52,2,mixed
RADAR-03-na-west-video-streaming,T03,3,3,P03-S04,P03-S06,,4.73,0,2.63,18.9,272.16,3,background
RADAR-03-na-west-background-sync,T03,3,4,P04-S02,P02-S03,,5.25,0,3.15,21,64.5,3,background
RADAR-03-na-west-automated,T03,3,2,P02-S06,P04-S04,,4.2,0,2.1,8.4,110.57,4,routing
RADAR-COMPUTE-03-na-west,T03,3,3,,,P07-S04,12.6,1,8.4,33.6,0,2,compute
RADAR-03-europe-human-web,T03,3,2,P04-S07,P07-S01,,8.26,0,3.54,11.8,144.43,2,mixed
RADAR-03-europe-interactive-realtime,T03,3,1,P02-S03,P01-S02,,9.44,0,2.36,7.08,80.71,1,routing
RADAR-03-europe-api,T03,3,2,P05-S05,P06-S06,,10.62,0,4.72,14.16,61.74,1,telemetry
RADAR-03-europe-dns-control,T03,3,1,P01-S05,P02-S08,,3.54,0,1.18,4.72,24.16,1,telemetry
RADAR-03-east-asia-human-web,T03,3,2,P01-S05,P03-S07,,7.98,0,3.42,11.4,139.54,2,mixed
RADAR-03-east-asia-video-streaming,T03,3,3,P04-S07,P08-S04,,5.13,0,2.85,20.52,295.49,3,background
RADAR-03-south-america-human-web,T03,3,2,P05-S02,P07-S06,,5.32,0,2.4,8,93.02,2,mixed
RADAR-03-south-america-interactive-realtime,T03,3,1,P03-S06,P01-S07,,6.08,0,1.6,4.8,51.98,1,routing
RADAR-03-south-america-api,T03,3,2,P06-S08,P06-S03,,6.84,0,3.2,9.6,39.77,1,telemetry
RADAR-03-south-america-background-sync,T03,3,4,P01-S02,P03-S08,,3.8,0,2.4,16,46.68,3,background
RADAR-03-oceania-human-web,T03,3,2,P01-S07,P06-S03,,4.34,0,2.4,8,75.89,2,mixed
RADAR-03-oceania-video-streaming,T03,3,3,P04-S01,P03-S08,,2.79,0,2,14.4,160.7,3,background
RADAR-03-oceania-software-update,T03,3,5,P08-S01,P07-S02,,2.17,0,1.6,28.8,107.14,4,background
RADAR-03-oceania-automated,T03,3,2,P03-S03,P04-S06,,2.48,0,1.6,6.4,65.29,4,routing
RADAR-COMPUTE-03-oceania,T03,3,3,,,P08-S01,7.44,0,6.4,25.6,0,2,compute
RADAR-04-na-east-human-web,T04,4,2,P06-S05,P01-S03,,8.9,0,3.6,12,156.77,2,mixed
RADAR-04-na-east-video-streaming,T04,4,3,P01-S07,P06-S08,,5.72,0,3,21.6,331.99,3,background
RADAR-04-na-east-background-sync,T04,4,4,P02-S05,P05-S05,,6.36,0,3.6,24,78.13,3,background
RADAR-04-na-east-automated,T04,4,2,P08-S01,P07-S06,,5.09,0,2.4,9.6,132.29,4,routing
RADAR-COMPUTE-04-na-east,T04,4,3,,,P05-S07,15.26,1,9.6,38.4,0,2,compute
RADAR-04-na-west-human-web,T04,4,2,P01-S03,P07-S02,,7.79,0,3.15,10.5,137.18,2,mixed
RADAR-04-na-west-interactive-realtime,T04,4,1,P07-S07,P01-S03,,8.9,0,2.1,6.3,76.66,1,routing
RADAR-04-na-west-api,T04,4,2,P02-S01,P06-S07,,10.02,0,4.2,12.6,58.24,1,telemetry
RADAR-04-na-west-dns-control,T04,4,1,P06-S01,P02-S01,,3.34,0,1.05,4.2,22.79,1,telemetry
RADAR-04-europe-human-web,T04,4,2,P05-S08,P08-S01,,8.76,0,3.54,11.8,154.16,2,mixed
RADAR-04-europe-video-streaming,T04,4,3,P08-S02,P05-S06,,5.63,0,2.95,21.24,326.46,3,background
RADAR-04-east-asia-human-web,T04,4,2,P02-S06,P04-S08,,8.46,0,3.42,11.4,148.94,2,mixed
RADAR-04-east-asia-interactive-realtime,T04,4,1,P08-S02,P06-S01,,9.67,0,2.28,6.84,83.23,1,routing
RADAR-04-east-asia-api,T04,4,2,P03-S04,P03-S05,,10.88,0,4.56,13.68,63.23,1,telemetry
RADAR-04-east-asia-background-sync,T04,4,4,P06-S06,P08-S02,,6.04,0,3.42,22.8,74.23,3,background
RADAR-04-south-america-human-web,T04,4,2,P06-S03,P08-S06,,5.64,0,2.4,8,99.29,2,mixed
RADAR-04-south-america-video-streaming,T04,4,3,P01-S05,P05-S03,,3.63,0,2,14.4,210.26,3,background
RADAR-04-south-america-software-update,T04,4,5,P05-S05,P01-S05,,2.82,0,1.6,28.8,140.17,4,background
RADAR-04-south-america-automated,T04,4,2,P08-S07,P06-S01,,3.22,0,1.6,6.4,83.78,4,routing
RADAR-COMPUTE-04-south-america,T04,4,3,,,P05-S05,9.67,0,6.4,25.6,0,2,compute
RADAR-04-oceania-human-web,T04,4,2,P02-S08,P07-S04,,4.6,0,2.4,8,81,2,mixed
RADAR-04-oceania-interactive-realtime,T04,4,1,P08-S04,P01-S05,,5.26,0,1.6,4.8,45.26,1,routing
RADAR-04-oceania-api,T04,4,2,P03-S06,P06-S01,,5.91,0,3.2,9.6,34.39,1,telemetry
RADAR-04-oceania-dns-control,T04,4,1,P07-S06,P02-S03,,1.97,0,0.8,3.2,13.46,1,telemetry
RADAR-05-na-east-human-web,T05,5,2,P07-S05,P02-S04,,10.25,0,3.6,12,182.93,2,mixed
RADAR-05-na-east-interactive-realtime,T05,5,1,P05-S01,P04-S05,,11.71,0,2.4,7.2,102.22,1,routing
RADAR-05-na-east-api,T05,5,2,P08-S03,P01-S01,,13.18,0,4.8,14.4,75.76,1,telemetry
RADAR-05-na-east-dns-control,T05,5,1,P04-S03,P05-S03,,4.39,0,1.2,4.8,29.65,1,telemetry
RADAR-05-na-west-human-web,T05,5,2,P02-S03,P08-S02,,8.97,0,3.15,10.5,160.06,2,mixed
RADAR-05-na-west-video-streaming,T05,5,3,P05-S05,P05-S07,,5.76,0,2.63,18.9,338.95,3,background
RADAR-05-europe-human-web,T05,5,2,P06-S08,P01-S02,,10.08,0,3.54,11.8,179.88,2,mixed
RADAR-05-europe-interactive-realtime,T05,5,1,P04-S04,P03-S03,,11.52,0,2.36,7.08,100.52,1,routing
RADAR-05-europe-api,T05,5,2,P07-S06,P08-S07,,12.96,0,4.72,14.16,74.5,1,telemetry
RADAR-05-europe-background-sync,T05,5,4,P02-S08,P05-S04,,7.2,0,3.54,23.6,87.46,3,background
RADAR-05-east-asia-human-web,T05,5,2,P03-S06,P05-S08,,9.74,0,3.42,11.4,173.78,2,mixed
RADAR-05-east-asia-video-streaming,T05,5,3,P06-S08,P02-S05,,6.26,0,2.85,20.52,368.01,3,background
RADAR-05-east-asia-software-update,T05,5,5,P02-S08,P06-S07,,4.87,0,2.28,41.04,245.34,4,background
RADAR-05-east-asia-automated,T05,5,2,P05-S02,P03-S03,,5.56,0,2.28,9.12,142.84,4,routing
RADAR-COMPUTE-05-east-asia,T05,5,3,,,P02-S08,16.69,1,9.12,36.48,0,2,compute
RADAR-05-south-america-human-web,T05,5,2,P07-S03,P01-S07,,6.49,0,2.4,8,115.85,2,mixed
RADAR-05-south-america-interactive-realtime,T05,5,1,P05-S07,P03-S08,,7.42,0,1.6,4.8,64.74,1,routing
RADAR-05-south-america-api,T05,5,2,P08-S01,P08-S04,,8.34,0,3.2,9.6,47.98,1,telemetry
RADAR-05-south-america-dns-control,T05,5,1,P04-S01,P04-S06,,2.78,0,0.8,3.2,18.78,1,telemetry
RADAR-05-oceania-human-web,T05,5,2,P03-S08,P08-S04,,5.29,0,2.4,8,94.51,2,mixed
RADAR-05-oceania-video-streaming,T05,5,3,P06-S02,P05-S01,,3.4,0,2,14.4,200.14,3,background
RADAR-05-oceania-background-sync,T05,5,4,P07-S08,P04-S06,,3.78,0,2.4,16,45.95,3,background
RADAR-06-na-east-human-web,T06,6,2,P08-S06,P03-S04,,12.1,0,3.6,12,220.32,2,mixed
RADAR-06-na-east-video-streaming,T06,6,3,P03-S08,P08-S01,,7.78,0,3,21.6,466.56,3,background
RADAR-06-na-west-human-web,T06,6,2,P03-S04,P01-S03,,10.58,0,3.15,10.5,192.78,2,mixed
RADAR-06-na-west-interactive-realtime,T06,6,1,P01-S08,P03-S04,,12.1,0,2.1,6.3,107.73,1,routing
RADAR-06-na-west-api,T06,6,2,P04-S02,P08-S08,,13.61,0,4.2,12.6,76.51,1,telemetry
RADAR-06-na-west-background-sync,T06,6,4,P07-S04,P05-S05,,7.56,0,3.15,21,89.81,3,background
RADAR-06-europe-human-web,T06,6,2,P07-S01,P02-S02,,11.89,0,3.54,11.8,216.65,2,mixed
RADAR-06-europe-video-streaming,T06,6,3,P02-S03,P07-S07,,7.65,0,2.95,21.24,458.78,3,background
RADAR-06-europe-software-update,T06,6,5,P06-S03,P03-S01,,5.95,0,2.36,42.48,305.86,4,background
RADAR-06-europe-automated,T06,6,2,P01-S05,P08-S05,,6.8,0,2.36,9.44,172.3,4,routing
RADAR-COMPUTE-06-europe,T06,6,3,,,P06-S03,20.39,1,9.44,37.76,0,2,compute
RADAR-06-east-asia-human-web,T06,6,2,P04-S07,P06-S01,,11.49,0,3.42,11.4,209.3,2,mixed
RADAR-06-east-asia-interactive-realtime,T06,6,1,P02-S03,P08-S02,,13.13,0,2.28,6.84,116.96,1,routing
RADAR-06-east-asia-api,T06,6,2,P05-S05,P05-S06,,14.77,0,4.56,13.68,83.06,1,telemetry
RADAR-06-east-asia-dns-control,T06,6,1,P01-S05,P01-S08,,4.92,0,1.14,4.56,32.5,1,telemetry
RADAR-06-south-america-human-web,T06,6,2,P08-S04,P02-S07,,7.66,0,2.4,8,139.54,2,mixed
RADAR-06-south-america-video-streaming,T06,6,3,P03-S06,P07-S04,,4.92,0,2,14.4,295.49,3,background
RADAR-06-south-america-background-sync,T06,6,4,P04-S04,P06-S01,,5.47,0,2.4,16,65.01,3,background
RADAR-06-oceania-human-web,T06,6,2,P04-S01,P01-S05,,6.25,0,2.4,8,113.83,2,mixed
RADAR-06-oceania-interactive-realtime,T06,6,1,P02-S05,P03-S06,,7.14,0,1.6,4.8,63.61,1,routing
RADAR-06-oceania-api,T06,6,2,P05-S07,P08-S02,,8.04,0,3.2,9.6,45.18,1,telemetry
RADAR-07-na-east-human-web,T07,7,2,P01-S06,P04-S05,,14.11,0,3.6,12,260.47,2,mixed
RADAR-07-na-east-interactive-realtime,T07,7,1,P07-S02,P06-S06,,16.13,0,2.4,7.2,145.56,1,routing
RADAR-07-na-east-api,T07,7,2,P02-S04,P03-S02,,18.14,0,4.8,14.4,100.85,1,telemetry
RADAR-07-na-east-background-sync,T07,7,4,P05-S06,P08-S07,,10.08,0,3.6,24,118.39,3,background
RADAR-07-na-west-human-web,T07,7,2,P04-S04,P02-S03,,12.35,0,3.15,10.5,227.91,2,mixed
RADAR-07-na-west-video-streaming,T07,7,3,P07-S06,P07-S08,,7.94,0,2.63,18.9,482.63,3,background
RADAR-07-na-west-software-update,T07,7,5,P03-S06,P03-S02,,6.17,0,2.1,37.8,321.75,4,background
RADAR-07-na-west-automated,T07,7,2,P06-S08,P08-S06,,7.06,0,2.1,8.4,176.58,4,routing
RADAR-COMPUTE-07-na-west,T07,7,3,,,P03-S06,21.17,1,8.4,33.6,0,2,compute
RADAR-07-europe-human-web,T07,7,2,P08-S01,P03-S03,,13.88,0,3.54,11.8,256.13,2,mixed
RADAR-07-europe-interactive-realtime,T07,7,1,P06-S05,P05-S04,,15.86,0,2.36,7.08,143.13,1,routing
RADAR-07-europe-api,T07,7,2,P01-S07,P02-S08,,17.84,0,4.72,14.16,99.17,1,telemetry
RADAR-07-europe-dns-control,T07,7,1,P05-S07,P06-S02,,5.95,0,1.18,4.72,38.81,1,telemetry
RADAR-07-east-asia-human-web,T07,7,2,P05-S07,P07-S01,,13.41,0,3.42,11.4,247.44,2,mixed
RADAR-07-east-asia-video-streaming,T07,7,3,P08-S01,P04-S06,,8.62,0,2.85,20.52,524,3,background
RADAR-07-east-asia-background-sync,T07,7,4,P01-S07,P03-S03,,9.58,0,3.42,22.8,112.47,3,background
RADAR-07-south-america-human-web,T07,7,2,P01-S04,P03-S08,,8.94,0,2.4,8,164.96,2,mixed
RADAR-07-south-america-interactive-realtime,T07,7,1,P07-S08,P05-S01,,10.21,0,1.6,4.8,92.18,1,routing
RADAR-07-south-america-api,T07,7,2,P02-S02,P02-S05,,11.49,0,3.2,9.6,63.87,1,telemetry
RADAR-07-oceania-human-web,T07,7,2,P05-S01,P02-S05,,7.29,0,2.4,8,134.57,2,mixed
RADAR-07-oceania-video-streaming,T07,7,3,P08-S03,P07-S02,,4.69,0,2,14.4,284.98,3,background
RADAR-07-oceania-automated,T07,7,2,P07-S05,P08-S08,,4.17,0,1.6,6.4,104.26,4,routing
RADAR-COMPUTE-07-oceania,T07,7,3,,,P04-S03,12.5,0,6.4,25.6,0,2,compute
RADAR-08-na-east-human-web,T08,8,2,P02-S07,P05-S05,,15.79,0,3.6,12,293.39,2,mixed
RADAR-08-na-east-video-streaming,T08,8,3,P05-S01,P02-S02,,10.15,0,3,21.6,621.3,3,background
RADAR-08-na-east-software-update,T08,8,5,P01-S01,P06-S04,,7.9,0,2.4,43.2,414.2,4,background
RADAR-08-na-east-automated,T08,8,2,P04-S03,P03-S08,,9.02,0,2.4,9.6,225.83,4,routing
RADAR-COMPUTE-08-na-east,T08,8,3,,,P01-S01,27.07,1,9.6,38.4,0,2,compute
RADAR-08-na-west-human-web,T08,8,2,P05-S05,P03-S04,,13.82,0,3.15,10.5,256.72,2,mixed
RADAR-08-na-west-interactive-realtime,T08,8,1,P03-S01,P05-S05,,15.79,0,2.1,6.3,143.46,1,routing
RADAR-08-na-west-api,T08,8,2,P06-S03,P02-S01,,17.77,0,4.2,12.6,97.61,1,telemetry
RADAR-08-na-west-dns-control,T08,8,1,P02-S03,P06-S03,,5.92,0,1.05,4.2,38.2,1,telemetry
RADAR-08-europe-human-web,T08,8,2,P01-S02,P04-S03,,15.53,0,3.54,11.8,288.5,2,mixed
RADAR-08-europe-video-streaming,T08,8,3,P04-S04,P01-S08,,9.98,0,2.95,21.24,610.95,3,background
RADAR-08-europe-background-sync,T08,8,4,P05-S02,P08-S05,,11.09,0,3.54,23.6,128.78,3,background
RADAR-08-east-asia-human-web,T08,8,2,P06-S08,P08-S02,,15,0,3.42,11.4,278.72,2,mixed
RADAR-08-east-asia-interactive-realtime,T08,8,1,P04-S04,P02-S03,,17.15,0,2.28,6.84,155.76,1,routing
RADAR-08-east-asia-api,T08,8,2,P07-S06,P07-S07,,19.29,0,4.56,13.68,105.98,1,telemetry
RADAR-08-south-america-human-web,T08,8,2,P02-S05,P04-S08,,10,0,2.4,8,185.82,2,mixed
RADAR-08-south-america-video-streaming,T08,8,3,P05-S07,P01-S05,,6.43,0,2,14.4,393.49,3,background
RADAR-08-south-america-automated,T08,8,2,P04-S01,P02-S03,,5.72,0,1.6,6.4,143.02,4,routing
RADAR-COMPUTE-08-south-america,T08,8,3,,,P01-S07,17.15,0,6.4,25.6,0,2,compute
RADAR-08-oceania-human-web,T08,8,2,P06-S02,P03-S06,,8.16,0,2.4,8,151.59,2,mixed
RADAR-08-oceania-interactive-realtime,T08,8,1,P04-S06,P05-S07,,9.32,0,1.6,4.8,84.71,1,routing
RADAR-08-oceania-api,T08,8,2,P07-S08,P02-S03,,10.49,0,3.2,9.6,57.64,1,telemetry
RADAR-08-oceania-background-sync,T08,8,4,P02-S02,P07-S08,,5.83,0,2.4,16,67.66,3,background
RADAR-08-oceania-dns-control,T08,8,1,P03-S08,P06-S05,,3.5,0,0.8,3.2,22.55,1,telemetry
RADAR-09-na-east-human-web,T09,9,2,P03-S07,P06-S06,,17.14,0,3.6,12,316.28,2,mixed
RADAR-09-na-east-interactive-realtime,T09,9,1,P01-S03,P08-S07,,19.58,0,2.4,7.2,176.75,1,routing
RADAR-09-na-east-api,T09,9,2,P04-S05,P05-S03,,22.03,0,4.8,14.4,122.46,1,telemetry
RADAR-09-na-east-dns-control,T09,9,1,P08-S05,P01-S05,,7.34,0,1.2,4.8,47.92,1,telemetry
RADAR-09-na-west-human-web,T09,9,2,P06-S05,P04-S04,,14.99,0,3.15,10.5,276.75,2,mixed
RADAR-09-na-west-video-streaming,T09,9,3,P01-S07,P01-S01,,9.64,0,2.63,18.9,586.05,3,background
RADAR-09-na-west-background-sync,T09,9,4,P02-S05,P08-S06,,10.71,0,3.15,21,125.79,3,background
RADAR-09-europe-human-web,T09,9,2,P02-S02,P05-S04,,16.85,0,3.54,11.8,311.01,2,mixed
RADAR-09-europe-interactive-realtime,T09,9,1,P08-S06,P07-S05,,19.26,0,2.36,7.08,173.8,1,routing
RADAR-09-europe-api,T09,9,2,P03-S08,P04-S01,,21.66,0,4.72,14.16,120.42,1,telemetry
RADAR-09-east-asia-human-web,T09,9,2,P07-S08,P01-S02,,16.28,0,3.42,11.4,300.47,2,mixed
RADAR-09-east-asia-video-streaming,T09,9,3,P02-S02,P06-S07,,10.47,0,2.85,20.52,636.28,3,background
RADAR-09-east-asia-automated,T09,9,2,P01-S04,P07-S05,,9.3,0,2.28,9.12,232.79,4,routing
RADAR-COMPUTE-09-east-asia,T09,9,3,,,P06-S02,27.91,1,9.12,36.48,0,2,compute
RADAR-09-south-america-human-web,T09,9,2,P03-S05,P05-S01,,10.85,0,2.4,8,200.31,2,mixed
RADAR-09-south-america-interactive-realtime,T09,9,1,P01-S01,P07-S02,,12.4,0,1.6,4.8,111.94,1,routing
RADAR-09-south-america-api,T09,9,2,P04-S03,P04-S06,,13.95,0,3.2,9.6,77.56,1,telemetry
RADAR-09-south-america-background-sync,T09,9,4,P07-S05,P01-S03,,7.75,0,2.4,16,91.05,3,background
RADAR-09-south-america-dns-control,T09,9,1,P08-S03,P08-S08,,4.65,0,0.8,3.2,30.35,1,telemetry
RADAR-09-oceania-human-web,T09,9,2,P07-S02,P04-S06,,8.85,0,2.4,8,163.41,2,mixed
RADAR-09-oceania-video-streaming,T09,9,3,P02-S04,P01-S03,,5.69,0,2,14.4,346.05,3,background
RADAR-09-oceania-software-update,T09,9,5,P06-S04,P05-S05,,4.43,0,1.6,28.8,230.7,4,background
RADAR-10-na-east-human-web,T10,10,2,P04-S08,P07-S06,,18.14,0,3.6,12,332.68,2,mixed
RADAR-10-na-east-video-streaming,T10,10,3,P07-S02,P04-S03,,11.66,0,3,21.6,704.51,3,background
RADAR-10-na-east-background-sync,T10,10,4,P08-S08,P03-S08,,12.96,0,3.6,24,153.96,3,background
RADAR-10-na-west-human-web,T10,10,2,P07-S06,P05-S05,,15.88,0,3.15,10.5,291.1,2,mixed
RADAR-10-na-west-interactive-realtime,T10,10,1,P05-S02,P07-S06,,18.14,0,2.1,6.3,162.67,1,routing
RADAR-10-na-west-api,T10,10,2,P08-S04,P04-S02,,20.41,0,4.2,12.6,114.76,1,telemetry
RADAR-10-europe-human-web,T10,10,2,P03-S03,P06-S04,,17.84,0,3.54,11.8,327.14,2,mixed
