task_id,calibration_class_id,calibration_region_id,time,start_slice,duration_slices,source,target,node_id,compute_units,gpu_units,memory_gb,storage_gb,traffic_mbps,priority,task_type
RADAR-00-europe-software-update,software-update,europe,T00,0,5,P46-S02,P50-S16,,7.47,0,2.36,42.48,379.01,4,background
RADAR-00-east-asia-human-web,human-web,east-asia,T00,0,2,P51-S20,P35-S22,,14.43,0,3.42,11.4,259.36,2,mixed
RADAR-00-east-asia-interactive-realtime,interactive-realtime,east-asia,T00,0,1,P57-S02,P45-S09,,16.49,0,2.28,6.84,144.94,1,routing
RADAR-00-east-asia-api,api,east-asia,T00,0,2,P60-S04,P50-S13,,18.56,0,4.56,13.68,105.51,1,telemetry
RADAR-00-south-america-human-web,human-web,south-america,T00,0,2,P66-S03,P33-S20,,9.62,0,2.4,8,172.91,2,mixed
RADAR-00-south-america-video-streaming,video-streaming,south-america,T00,0,3,P69-S05,P38-S03,,6.19,0,2,14.4,366.16,3,background
RADAR-00-south-america-background-sync,background-sync,south-america,T00,0,4,P06-S11,P53-S16,,6.87,0,2.4,16,82.57,3,background
RADAR-00-south-america-automated,automated,south-america,T00,0,2,P12-S15,P63-S03,,5.5,0,1.6,6.4,141.16,4,routing
RADAR-COMPUTE-00-south-america,local-compute,south-america,T00,0,3,,,P09-S13,16.49,0,6.4,25.6,0,2,compute
RADAR-00-oceania-human-web,human-web,oceania,T00,0,2,P06-S08,P72-S12,,7.85,0,2.4,8,141.06,2,mixed
RADAR-00-oceania-interactive-realtime,interactive-realtime,oceania,T00,0,1,P12-S12,P10-S21,,8.97,0,1.6,4.8,78.83,1,routing
RADAR-00-oceania-api,api,oceania,T00,0,2,P15-S14,P15-S03,,10.09,0,3.2,9.6,57.38,1,telemetry
RADAR-00-oceania-dns-control,dns-control,oceania,T00,0,1,P27-S22,P35-S21,,3.36,0,0.8,3.2,22.45,1,telemetry
RADAR-01-na-east-human-web,human-web,na-east,T01,1,2,P08-S03,P36-S18,,17.89,0,3.6,12,319.4,2,mixed
RADAR-01-na-east-interactive-realtime,interactive-realtime,na-east,T01,1,1,P14-S07,P46-S05,,20.45,0,2.4,7.2,178.49,1,routing
RADAR-01-na-east-api,api,na-east,T01,1,2,P17-S09,P51-S09,,23.01,0,4.8,14.4,132.28,1,telemetry
RADAR-01-na-east-background-sync,background-sync,na-east,T01,1,4,P20-S11,P56-S14,,12.78,0,3.6,24,155.29,3,background
RADAR-01-na-east-dns-control,dns-control,na-east,T01,1,1,P29-S17,P71-S05,,7.67,0,1.2,4.8,51.76,1,telemetry
RADAR-01-na-west-human-web,human-web,na-west,T01,1,2,P17-S09,P57-S02,,15.66,0,3.15,10.5,279.47,2,mixed
RADAR-01-na-west-video-streaming,video-streaming,na-west,T01,1,3,P20-S11,P62-S07,,10.07,0,2.63,18.9,591.83,3,background
RADAR-01-na-west-software-update,software-update,na-west,T01,1,5,P32-S19,P10-S03,,7.83,0,2.1,37.8,394.55,4,background
RADAR-01-europe-human-web,human-web,europe,T01,1,2,P32-S14,P26-S16,,17.6,0,3.54,11.8,314.08,2,mixed
RADAR-01-europe-interactive-realtime,interactive-realtime,europe,T01,1,1,P38-S18,P36-S03,,20.11,0,2.36,7.08,175.51,1,routing
RADAR-01-europe-api,api,europe,T01,1,2,P41-S20,P41-S07,,22.62,0,4.72,14.16,130.08,1,telemetry
RADAR-01-east-asia-human-web,human-web,east-asia,T01,1,2,P52-S20,P36-S22,,17,0,3.42,11.4,303.43,2,mixed
RADAR-01-east-asia-video-streaming,video-streaming,east-asia,T01,1,3,P55-S22,P41-S05,,10.93,0,2.85,20.52,642.56,3,background
RADAR-01-east-asia-background-sync,background-sync,east-asia,T01,1,4,P64-S06,P56-S18,,12.14,0,3.42,22.8,147.53,3,background
RADAR-01-east-asia-automated,automated,east-asia,T01,1,2,P70-S10,P66-S05,,9.71,0,2.28,9.12,249.4,4,routing
RADAR-COMPUTE-01-east-asia,local-compute,east-asia,T01,1,3,,,P67-S08,29.14,1,9.12,36.48,0,2,compute
RADAR-01-south-america-human-web,human-web,south-america,T01,1,2,P67-S03,P34-S21,,11.33,0,2.4,8,202.29,2,mixed
RADAR-01-south-america-interactive-realtime,interactive-realtime,south-america,T01,1,1,P01-S07,P44-S08,,12.95,0,1.6,4.8,113.04,1,routing
RADAR-01-south-america-api,api,south-america,T01,1,2,P04-S09,P49-S12,,14.57,0,3.2,9.6,83.78,1,telemetry
RADAR-01-south-america-dns-control,dns-control,south-america,T01,1,1,P16-S17,P69-S08,,4.86,0,0.8,3.2,32.78,1,telemetry
RADAR-01-oceania-human-web,human-web,oceania,T01,1,2,P07-S08,P01-S12,,9.24,0,2.4,8,165.02,2,mixed
RADAR-01-oceania-video-streaming,video-streaming,oceania,T01,1,3,P10-S10,P06-S17,,5.94,0,2,14.4,349.46,3,background
RADAR-02-na-east-human-web,human-web,na-east,T02,2,2,P09-S04,P37-S18,,19.87,0,3.6,12,349.82,2,mixed
RADAR-02-na-east-video-streaming,video-streaming,na-east,T02,2,3,P12-S06,P42-S01,,12.77,0,3,21.6,740.8,3,background
RADAR-02-na-east-software-update,software-update,na-east,T02,2,5,P24-S14,P62-S19,,9.93,0,2.4,43.2,493.87,4,background
RADAR-02-na-west-human-web,human-web,na-west,T02,2,2,P18-S10,P58-S03,,17.38,0,3.15,10.5,306.09,2,mixed
RADAR-02-na-west-interactive-realtime,interactive-realtime,na-west,T02,2,1,P24-S14,P68-S12,,19.87,0,2.1,6.3,171.05,1,routing
RADAR-02-na-west-api,api,na-west,T02,2,2,P27-S16,P01-S16,,22.35,0,4.2,12.6,128.52,1,telemetry
RADAR-02-europe-human-web,human-web,europe,T02,2,2,P33-S15,P27-S16,,19.54,0,3.54,11.8,343.99,2,mixed
RADAR-02-europe-video-streaming,video-streaming,europe,T02,2,3,P36-S17,P32-S21,,12.56,0,2.95,21.24,728.45,3,background
RADAR-02-europe-background-sync,background-sync,europe,T02,2,4,P45-S01,P47-S12,,13.96,0,3.54,23.6,169.55,3,background
RADAR-02-europe-automated,automated,europe,T02,2,2,P51-S05,P57-S21,,11.16,0,2.36,9.44,293.89,4,routing
RADAR-COMPUTE-02-europe,local-compute,europe,T02,2,3,,,P48-S03,33.49,1,9.44,37.76,0,2,compute
RADAR-02-east-asia-human-web,human-web,east-asia,T02,2,2,P53-S21,P37-S01,,18.87,0,3.42,11.4,332.33,2,mixed
RADAR-02-east-asia-interactive-realtime,interactive-realtime,east-asia,T02,2,1,P59-S03,P47-S10,,21.57,0,2.28,6.84,185.71,1,routing
RADAR-02-east-asia-api,api,east-asia,T02,2,2,P62-S05,P52-S14,,24.27,0,4.56,13.68,139.54,1,telemetry
RADAR-02-east-asia-dns-control,dns-control,east-asia,T02,2,1,P02-S13,P72-S10,,8.09,0,1.14,4.56,54.6,1,telemetry
RADAR-02-south-america-human-web,human-web,south-america,T02,2,2,P68-S04,P35-S21,,12.58,0,2.4,8,221.55,2,mixed
RADAR-02-south-america-video-streaming,video-streaming,south-america,T02,2,3,P71-S06,P40-S04,,8.09,0,2,14.4,469.17,3,background
RADAR-02-oceania-human-web,human-web,oceania,T02,2,2,P08-S09,P02-S13,,10.27,0,2.4,8,180.74,2,mixed
RADAR-02-oceania-interactive-realtime,interactive-realtime,oceania,T02,2,1,P14-S13,P12-S22,,11.73,0,1.6,4.8,101,1,routing
RADAR-02-oceania-api,api,oceania,T02,2,2,P17-S15,P17-S04,,13.2,0,3.2,9.6,75.89,1,telemetry
RADAR-02-oceania-background-sync,background-sync,oceania,T02,2,4,P20-S17,P22-S09,,7.33,0,2.4,16,89.09,3,background
RADAR-03-na-east-human-web,human-web,na-east,T03,3,2,P10-S04,P38-S19,,21.4,0,3.6,12,374.18,2,mixed
RADAR-03-na-east-interactive-realtime,interactive-realtime,na-east,T03,3,1,P16-S08,P48-S06,,24.46,0,2.4,7.2,209.1,1,routing
RADAR-03-na-east-api,api,na-east,T03,3,2,P19-S10,P53-S10,,27.51,0,4.8,14.4,159.96,1,telemetry
RADAR-03-na-west-human-web,human-web,na-west,T03,3,2,P19-S10,P59-S03,,18.72,0,3.15,10.5,327.41,2,mixed
RADAR-03-na-west-video-streaming,video-streaming,na-west,T03,3,3,P22-S12,P64-S08,,12.04,0,2.63,18.9,693.34,3,background
RADAR-03-na-west-background-sync,background-sync,na-west,T03,3,4,P31-S18,P07-S21,,13.37,0,3.15,21,164.31,3,background
RADAR-03-na-west-automated,automated,na-west,T03,3,2,P37-S22,P17-S08,,10.7,0,2.1,8.4,281.67,4,routing
RADAR-COMPUTE-03-na-west,local-compute,na-west,T03,3,3,,,P34-S20,32.1,1,8.4,33.6,0,2,compute
RADAR-03-europe-human-web,human-web,europe,T03,3,2,P34-S15,P28-S17,,21.04,0,3.54,11.8,367.95,2,mixed
RADAR-03-europe-interactive-realtime,interactive-realtime,europe,T03,3,1,P40-S19,P38-S04,,24.05,0,2.36,7.08,205.62,1,routing
RADAR-03-europe-api,api,europe,T03,3,2,P43-S21,P43-S08,,27.05,0,4.72,14.16,157.29,1,telemetry
RADAR-03-europe-dns-control,dns-control,europe,T03,3,1,P55-S07,P63-S04,,9.02,0,1.18,4.72,61.55,1,telemetry
RADAR-03-east-asia-human-web,human-web,east-asia,T03,3,2,P54-S21,P38-S01,,20.33,0,3.42,11.4,355.47,2,mixed
RADAR-03-east-asia-video-streaming,video-streaming,east-asia,T03,3,3,P57-S01,P43-S06,,13.07,0,2.85,20.52,752.77,3,background
RADAR-03-south-america-human-web,human-web,south-america,T03,3,2,P69-S04,P36-S22,,13.55,0,2.4,8,236.98,2,mixed
RADAR-03-south-america-interactive-realtime,interactive-realtime,south-america,T03,3,1,P03-S08,P46-S09,,15.49,0,1.6,4.8,132.43,1,routing
RADAR-03-south-america-api,api,south-america,T03,3,2,P06-S10,P51-S13,,17.43,0,3.2,9.6,101.31,1,telemetry
RADAR-03-south-america-background-sync,background-sync,south-america,T03,3,4,P09-S12,P56-S18,,9.68,0,2.4,16,118.93,3,background
RADAR-03-oceania-human-web,human-web,oceania,T03,3,2,P09-S09,P03-S13,,11.06,0,2.4,8,193.33,2,mixed
RADAR-03-oceania-video-streaming,video-streaming,oceania,T03,3,3,P12-S11,P08-S18,,7.11,0,2,14.4,409.4,3,background
RADAR-03-oceania-software-update,software-update,oceania,T03,3,5,P24-S19,P28-S14,,5.53,0,1.6,28.8,272.93,4,background
RADAR-03-oceania-automated,automated,oceania,T03,3,2,P27-S21,P33-S18,,6.32,0,1.6,6.4,166.32,4,routing
RADAR-COMPUTE-03-oceania,local-compute,oceania,T03,3,3,,,P24-S19,18.95,0,6.4,25.6,0,2,compute
RADAR-04-na-east-human-web,human-web,na-east,T04,4,2,P11-S05,P39-S19,,21.31,0,3.6,12,375.16,2,mixed
RADAR-04-na-east-video-streaming,video-streaming,na-east,T04,4,3,P14-S07,P44-S02,,13.7,0,3,21.6,794.46,3,background
RADAR-04-na-east-background-sync,background-sync,na-east,T04,4,4,P23-S13,P59-S15,,15.22,0,3.6,24,186.97,3,background
RADAR-04-na-east-automated,automated,na-east,T04,4,2,P29-S17,P69-S02,,12.18,0,2.4,9.6,316.57,4,routing
RADAR-COMPUTE-04-na-east,local-compute,na-east,T04,4,3,,,P26-S15,36.53,1,9.6,38.4,0,2,compute
RADAR-04-na-west-human-web,human-web,na-west,T04,4,2,P20-S11,P60-S04,,18.64,0,3.15,10.5,328.27,2,mixed
RADAR-04-na-west-interactive-realtime,interactive-realtime,na-west,T04,4,1,P26-S15,P70-S13,,21.31,0,2.1,6.3,183.44,1,routing
RADAR-04-na-west-api,api,na-west,T04,4,2,P29-S17,P03-S17,,23.97,0,4.2,12.6,139.36,1,telemetry
RADAR-04-na-west-dns-control,dns-control,na-west,T04,4,1,P41-S03,P23-S13,,7.99,0,1.05,4.2,54.53,1,telemetry
RADAR-04-europe-human-web,human-web,europe,T04,4,2,P35-S16,P29-S17,,20.95,0,3.54,11.8,368.91,2,mixed
RADAR-04-europe-video-streaming,video-streaming,europe,T04,4,3,P38-S18,P34-S22,,13.47,0,2.95,21.24,781.22,3,background
RADAR-04-east-asia-human-web,human-web,east-asia,T04,4,2,P55-S22,P39-S02,,20.24,0,3.42,11.4,356.4,2,mixed
RADAR-04-east-asia-interactive-realtime,interactive-realtime,east-asia,T04,4,1,P61-S04,P49-S11,,23.13,0,2.28,6.84,199.17,1,routing
RADAR-04-east-asia-api,api,east-asia,T04,4,2,P64-S06,P54-S15,,26.03,0,4.56,13.68,151.31,1,telemetry
RADAR-04-east-asia-background-sync,background-sync,east-asia,T04,4,4,P67-S08,P59-S20,,14.46,0,3.42,22.8,177.62,3,background
RADAR-04-south-america-human-web,human-web,south-america,T04,4,2,P70-S05,P37-S22,,13.49,0,2.4,8,237.6,2,mixed
RADAR-04-south-america-video-streaming,video-streaming,south-america,T04,4,3,P01-S07,P42-S05,,8.68,0,2,14.4,503.16,3,background
RADAR-04-south-america-software-update,software-update,south-america,T04,4,5,P13-S15,P62-S01,,6.75,0,1.6,28.8,335.44,4,background
RADAR-04-south-america-automated,automated,south-america,T04,4,2,P16-S17,P67-S05,,7.71,0,1.6,6.4,200.49,4,routing
RADAR-COMPUTE-04-south-america,local-compute,south-america,T04,4,3,,,P13-S15,23.13,0,6.4,25.6,0,2,compute
RADAR-04-oceania-human-web,human-web,oceania,T04,4,2,P10-S10,P04-S14,,11.01,0,2.4,8,193.83,2,mixed
RADAR-04-oceania-interactive-realtime,interactive-realtime,oceania,T04,4,1,P16-S14,P14-S01,,12.58,0,1.6,4.8,108.32,1,routing
RADAR-04-oceania-api,api,oceania,T04,4,2,P19-S16,P19-S05,,14.15,0,3.2,9.6,82.29,1,telemetry
RADAR-04-oceania-dns-control,dns-control,oceania,T04,4,1,P31-S02,P39-S01,,4.72,0,0.8,3.2,32.2,1,telemetry
RADAR-05-na-east-human-web,human-web,na-east,T05,5,2,P12-S05,P40-S20,,23.61,0,3.6,12,421.42,2,mixed
RADAR-05-na-east-interactive-realtime,interactive-realtime,na-east,T05,5,1,P18-S09,P50-S07,,26.98,0,2.4,7.2,235.5,1,routing
RADAR-05-na-east-api,api,na-east,T05,5,2,P21-S11,P55-S11,,30.35,0,4.8,14.4,174.54,1,telemetry
RADAR-05-na-east-dns-control,dns-control,na-east,T05,5,1,P33-S19,P03-S07,,10.12,0,1.2,4.8,68.3,1,telemetry
RADAR-05-na-west-human-web,human-web,na-west,T05,5,2,P21-S11,P61-S04,,20.66,0,3.15,10.5,368.75,2,mixed
RADAR-05-na-west-video-streaming,video-streaming,na-west,T05,5,3,P24-S13,P66-S09,,13.28,0,2.63,18.9,780.87,3,background
RADAR-05-europe-human-web,human-web,europe,T05,5,2,P36-S16,P30-S18,,23.22,0,3.54,11.8,414.4,2,mixed
RADAR-05-europe-interactive-realtime,interactive-realtime,europe,T05,5,1,P42-S20,P40-S05,,26.53,0,2.36,7.08,231.58,1,routing
RADAR-05-europe-api,api,europe,T05,5,2,P45-S22,P45-S09,,29.85,0,4.72,14.16,171.63,1,telemetry
RADAR-05-europe-background-sync,background-sync,europe,T05,5,4,P48-S02,P50-S14,,16.58,0,3.54,23.6,201.48,3,background
RADAR-05-east-asia-human-web,human-web,east-asia,T05,5,2,P56-S22,P40-S02,,22.43,0,3.42,11.4,400.35,2,mixed
RADAR-05-east-asia-video-streaming,video-streaming,east-asia,T05,5,3,P59-S02,P45-S07,,14.42,0,2.85,20.52,847.81,3,background
RADAR-05-east-asia-software-update,software-update,east-asia,T05,5,5,P71-S10,P65-S03,,11.21,0,2.28,41.04,565.2,4,background
RADAR-05-east-asia-automated,automated,east-asia,T05,5,2,P02-S12,P70-S07,,12.82,0,2.28,9.12,329.06,4,routing
RADAR-COMPUTE-05-east-asia,local-compute,east-asia,T05,5,3,,,P71-S10,38.45,1,9.12,36.48,0,2,compute
RADAR-05-south-america-human-web,human-web,south-america,T05,5,2,P71-S05,P38-S01,,14.95,0,2.4,8,266.9,2,mixed
RADAR-05-south-america-interactive-realtime,interactive-realtime,south-america,T05,5,1,P05-S09,P48-S10,,17.09,0,1.6,4.8,149.15,1,routing
RADAR-05-south-america-api,api,south-america,T05,5,2,P08-S11,P53-S14,,19.22,0,3.2,9.6,110.54,1,telemetry
RADAR-05-south-america-dns-control,dns-control,south-america,T05,5,1,P20-S19,P01-S10,,6.41,0,0.8,3.2,43.26,1,telemetry
RADAR-05-oceania-human-web,human-web,oceania,T05,5,2,P11-S10,P05-S14,,12.2,0,2.4,8,217.74,2,mixed
RADAR-05-oceania-video-streaming,video-streaming,oceania,T05,5,3,P14-S12,P10-S19,,7.84,0,2,14.4,461.09,3,background
RADAR-05-oceania-background-sync,background-sync,oceania,T05,5,4,P23-S18,P25-S10,,8.71,0,2.4,16,105.86,3,background
RADAR-06-na-east-human-web,human-web,na-east,T06,6,2,P13-S06,P41-S20,,24.87,0,3.6,12,452.99,2,mixed
RADAR-06-na-east-video-streaming,video-streaming,na-east,T06,6,3,P16-S08,P46-S03,,15.99,0,3,21.6,959.27,3,background
RADAR-06-na-west-human-web,human-web,na-west,T06,6,2,P22-S12,P62-S05,,21.76,0,3.15,10.5,396.36,2,mixed
RADAR-06-na-west-interactive-realtime,interactive-realtime,na-west,T06,6,1,P28-S16,P72-S14,,24.87,0,2.1,6.3,221.5,1,routing
RADAR-06-na-west-api,api,na-west,T06,6,2,P31-S18,P05-S18,,27.98,0,4.2,12.6,157.3,1,telemetry
RADAR-06-na-west-background-sync,background-sync,na-west,T06,6,4,P34-S20,P10-S01,,15.54,0,3.15,21,184.66,3,background
RADAR-06-europe-human-web,human-web,europe,T06,6,2,P37-S17,P31-S18,,24.46,0,3.54,11.8,445.44,2,mixed
RADAR-06-europe-video-streaming,video-streaming,europe,T06,6,3,P40-S19,P36-S01,,15.72,0,2.95,21.24,943.28,3,background
RADAR-06-europe-software-update,software-update,europe,T06,6,5,P52-S05,P56-S19,,12.23,0,2.36,42.48,628.85,4,background
RADAR-06-europe-automated,automated,europe,T06,6,2,P55-S07,P61-S01,,13.97,0,2.36,9.44,354.25,4,routing
RADAR-COMPUTE-06-europe,local-compute,europe,T06,6,3,,,P52-S05,41.92,1,9.44,37.76,0,2,compute
RADAR-06-east-asia-human-web,human-web,east-asia,T06,6,2,P57-S01,P41-S03,,23.63,0,3.42,11.4,430.34,2,mixed
RADAR-06-east-asia-interactive-realtime,interactive-realtime,east-asia,T06,6,1,P63-S05,P51-S12,,27,0,2.28,6.84,240.48,1,routing
RADAR-06-east-asia-api,api,east-asia,T06,6,2,P66-S07,P56-S16,,30.38,0,4.56,13.68,170.79,1,telemetry
RADAR-06-east-asia-dns-control,dns-control,east-asia,T06,6,1,P06-S15,P04-S12,,10.13,0,1.14,4.56,66.83,1,telemetry
RADAR-06-south-america-human-web,human-web,south-america,T06,6,2,P72-S06,P39-S01,,15.75,0,2.4,8,286.89,2,mixed
RADAR-06-south-america-video-streaming,video-streaming,south-america,T06,6,3,P03-S08,P44-S06,,10.13,0,2,14.4,607.54,3,background
RADAR-06-south-america-background-sync,background-sync,south-america,T06,6,4,P12-S14,P59-S19,,11.25,0,2.4,16,133.66,3,background
RADAR-06-oceania-human-web,human-web,oceania,T06,6,2,P12-S11,P06-S15,,12.85,0,2.4,8,234.04,2,mixed
RADAR-06-oceania-interactive-realtime,interactive-realtime,oceania,T06,6,1,P18-S15,P16-S02,,14.69,0,1.6,4.8,130.79,1,routing
RADAR-06-oceania-api,api,oceania,T06,6,2,P21-S17,P21-S06,,16.52,0,3.2,9.6,92.88,1,telemetry
RADAR-07-na-east-human-web,human-web,na-east,T07,7,2,P14-S06,P42-S21,,22.08,0,3.6,12,407.61,2,mixed
RADAR-07-na-east-interactive-realtime,interactive-realtime,na-east,T07,7,1,P20-S10,P52-S08,,25.24,0,2.4,7.2,227.78,1,routing
RADAR-07-na-east-api,api,na-east,T07,7,2,P23-S12,P57-S12,,28.39,0,4.8,14.4,157.82,1,telemetry
RADAR-07-na-east-background-sync,background-sync,na-east,T07,7,4,P26-S14,P62-S17,,15.77,0,3.6,24,185.27,3,background
RADAR-07-na-west-human-web,human-web,na-west,T07,7,2,P23-S12,P63-S05,,19.32,0,3.15,10.5,356.66,2,mixed
RADAR-07-na-west-video-streaming,video-streaming,na-west,T07,7,3,P26-S14,P68-S10,,12.42,0,2.63,18.9,755.27,3,background
RADAR-07-na-west-software-update,software-update,na-west,T07,7,5,P38-S22,P16-S06,,9.66,0,2.1,37.8,503.51,4,background
RADAR-07-na-west-automated,automated,na-west,T07,7,2,P41-S02,P21-S10,,11.04,0,2.1,8.4,276.33,4,routing
RADAR-COMPUTE-07-na-west,local-compute,na-west,T07,7,3,,,P38-S22,33.13,1,8.4,33.6,0,2,compute
RADAR-07-europe-human-web,human-web,europe,T07,7,2,P38-S17,P32-S19,,21.72,0,3.54,11.8,400.81,2,mixed
RADAR-07-europe-interactive-realtime,interactive-realtime,europe,T07,7,1,P44-S21,P42-S06,,24.82,0,2.36,7.08,223.98,1,routing
RADAR-07-europe-api,api,europe,T07,7,2,P47-S01,P47-S10,,27.92,0,4.72,14.16,155.19,1,telemetry
RADAR-07-europe-dns-control,dns-control,europe,T07,7,1,P59-S09,P67-S06,,9.31,0,1.18,4.72,60.73,1,telemetry
RADAR-07-east-asia-human-web,human-web,east-asia,T07,7,2,P58-S01,P42-S03,,20.98,0,3.42,11.4,387.23,2,mixed
RADAR-07-east-asia-video-streaming,video-streaming,east-asia,T07,7,3,P61-S03,P47-S08,,13.49,0,2.85,20.52,820.01,3,background
RADAR-07-east-asia-background-sync,background-sync,east-asia,T07,7,4,P70-S09,P62-S21,,14.99,0,3.42,22.8,176.01,3,background
RADAR-07-south-america-human-web,human-web,south-america,T07,7,2,P01-S06,P40-S02,,13.99,0,2.4,8,258.15,2,mixed
RADAR-07-south-america-interactive-realtime,interactive-realtime,south-america,T07,7,1,P07-S10,P50-S11,,15.98,0,1.6,4.8,144.26,1,routing
RADAR-07-south-america-api,api,south-america,T07,7,2,P10-S12,P55-S15,,17.98,0,3.2,9.6,99.95,1,telemetry
RADAR-07-oceania-human-web,human-web,oceania,T07,7,2,P13-S11,P07-S15,,11.41,0,2.4,8,210.6,2,mixed
RADAR-07-oceania-video-streaming,video-streaming,oceania,T07,7,3,P16-S13,P12-S20,,7.34,0,2,14.4,445.97,3,background
RADAR-07-oceania-automated,automated,oceania,T07,7,2,P31-S01,P37-S20,,6.52,0,1.6,6.4,163.16,4,routing
RADAR-COMPUTE-07-oceania,local-compute,oceania,T07,7,3,,,P28-S21,19.56,0,6.4,25.6,0,2,compute
RADAR-08-na-east-human-web,human-web,na-east,T08,8,2,P15-S07,P43-S21,,22.19,0,3.6,12,412.25,2,mixed
RADAR-08-na-east-video-streaming,video-streaming,na-east,T08,8,3,P18-S09,P48-S04,,14.26,0,3,21.6,873,3,background
RADAR-08-na-east-software-update,software-update,na-east,T08,8,5,P30-S17,P68-S22,,11.09,0,2.4,43.2,582,4,background
RADAR-08-na-east-automated,automated,na-east,T08,8,2,P33-S19,P01-S04,,12.68,0,2.4,9.6,317.31,4,routing
RADAR-COMPUTE-08-na-east,local-compute,na-east,T08,8,3,,,P30-S17,38.04,1,9.6,38.4,0,2,compute
RADAR-08-na-west-human-web,human-web,na-west,T08,8,2,P24-S13,P64-S06,,19.42,0,3.15,10.5,360.72,2,mixed
RADAR-08-na-west-interactive-realtime,interactive-realtime,na-west,T08,8,1,P30-S17,P02-S15,,22.19,0,2.1,6.3,201.58,1,routing
RADAR-08-na-west-api,api,na-west,T08,8,2,P33-S19,P07-S19,,24.96,0,4.2,12.6,137.16,1,telemetry
RADAR-08-na-west-dns-control,dns-control,na-west,T08,8,1,P45-S05,P27-S15,,8.32,0,1.05,4.2,53.67,1,telemetry
RADAR-08-europe-human-web,human-web,europe,T08,8,2,P39-S18,P33-S19,,21.82,0,3.54,11.8,405.38,2,mixed
RADAR-08-europe-video-streaming,video-streaming,europe,T08,8,3,P42-S20,P38-S02,,14.03,0,2.95,21.24,858.45,3,background
RADAR-08-europe-background-sync,background-sync,europe,T08,8,4,P51-S04,P53-S15,,15.59,0,3.54,23.6,180.95,3,background
RADAR-08-east-asia-human-web,human-web,east-asia,T08,8,2,P59-S02,P43-S04,,21.08,0,3.42,11.4,391.64,2,mixed
RADAR-08-east-asia-interactive-realtime,interactive-realtime,east-asia,T08,8,1,P65-S06,P53-S13,,24.09,0,2.28,6.84,218.86,1,routing
RADAR-08-east-asia-api,api,east-asia,T08,8,2,P68-S08,P58-S17,,27.1,0,4.56,13.68,148.92,1,telemetry
RADAR-08-south-america-human-web,human-web,south-america,T08,8,2,P02-S07,P41-S02,,14.05,0,2.4,8,261.09,2,mixed
RADAR-08-south-america-video-streaming,video-streaming,south-america,T08,8,3,P05-S09,P46-S07,,9.03,0,2,14.4,552.9,3,background
RADAR-08-south-america-automated,automated,south-america,T08,8,2,P20-S19,P71-S07,,8.03,0,1.6,6.4,200.96,4,routing
RADAR-COMPUTE-08-south-america,local-compute,south-america,T08,8,3,,,P17-S17,24.09,0,6.4,25.6,0,2,compute
RADAR-08-oceania-human-web,human-web,oceania,T08,8,2,P14-S12,P08-S16,,11.46,0,2.4,8,213,2,mixed
RADAR-08-oceania-interactive-realtime,interactive-realtime,oceania,T08,8,1,P20-S16,P18-S03,,13.1,0,1.6,4.8,119.03,1,routing
